index,product,category,sale_price,brand,description,barcode
1,Paper Boat Drink,Beverages,868.82,Coca-Cola,Coca-Cola Paper Boat Drink available in Indian market.,8900000000001
2,Dettol Disinfectant,Home Care,506.76,SC Johnson,SC Johnson Dettol Disinfectant available in Indian market.,8900000000002
3,Bata Sandals,Fashion,4161.57,Van Heusen,Van Heusen Bata Sandals available in Indian market.,8900000000003
4,Daawat Basmati Rice,Food,2007.24,Britannia,Britannia Daawat Basmati Rice available in Indian market.,8900000000004
5,Levis Jeans,Fashion,151.88,Nike,Nike Levis Jeans available in Indian market.,8900000000005
6,Bata Sandals,Fashion,107.02,Puma,Puma Bata Sandals available in Indian market.,8900000000006
7,Sunsilk Conditioner,Personal Care,1741.82,Dettol,Dettol Sunsilk Conditioner available in Indian market.,8900000000007
8,Boat Headphones,Electronics,3132.06,Boat,Boat Boat Headphones available in Indian market.,8900000000008
9,HP Keyboard,Electronics,855.98,Logitech,Logitech HP Keyboard available in Indian market.,8900000000009
10,Lizol Floor Cleaner,Home Care,4435.95,Godrej,Godrej Lizol Floor Cleaner available in Indian market.,8900000000010
11,Van Heusen Tie,Fashion,1929.12,Peter England,Peter England Van Heusen Tie available in Indian market.,8900000000011
12,Real Fruit Juice,Beverages,1354.83,Tropicana,Tropicana Real Fruit Juice available in Indian market.,8900000000012
13,Zebronics Mouse,Electronics,378.41,Zebronics,Zebronics Zebronics Mouse available in Indian market.,8900000000013
14,Amul Cheese,Dairy,1569.52,Nestle,Nestle Amul Cheese available in Indian market.,8900000000014
15,Dettol Handwash,Personal Care,496.17,Pears,Pears Dettol Handwash available in Indian market.,8900000000015
16,Amul Butter,Dairy,4033.7,Mother Dairy,Mother Dairy Amul Butter available in Indian market.,8900000000016
17,Frooti Mango Drink,Beverages,1306.98,Parle Agro,Parle Agro Frooti Mango Drink available in Indian market.,8900000000017
18,Dettol Handwash,Personal Care,4798.99,Dove,Dove Dettol Handwash available in Indian market.,8900000000018
19,Harpic Toilet Cleaner,Home Care,3223.77,Reckitt,Reckitt Harpic Toilet Cleaner available in Indian market.,8900000000019
20,Fair & Lovely Cream,Personal Care,3660.32,Colgate,Colgate Fair & Lovely Cream available in Indian market.,8900000000020
21,Nestle Yogurt,Dairy,2321.11,Mother Dairy,Mother Dairy Nestle Yogurt available in Indian market.,8900000000021
22,Amul Taaza Milk,Dairy,1312.83,Nestle,Nestle Amul Taaza Milk available in Indian market.,8900000000022
23,Peter England Shirt,Fashion,3854.66,Raymond,Raymond Peter England Shirt available in Indian market.,8900000000023
24,Van Heusen Tie,Fashion,3250.33,Nike,Nike Van Heusen Tie available in Indian market.,8900000000024
25,Paper Boat Drink,Beverages,4164.74,Parle Agro,Parle Agro Paper Boat Drink available in Indian market.,8900000000025
26,Fortune Sunflower Oil,Food,2450.29,Fortune,Fortune Fortune Sunflower Oil available in Indian market.,8900000000026
